date,clade
5/13/22,21L (Omicron)
5/18/22,22C (Omicron)
5/13/22,21L (Omicron)
5/16/22,22C (Omicron)
5/12/22,22C (Omicron)
5/13/22,22C (Omicron)
5/13/22,21L (Omicron)
5/23/22,22C (Omicron)
5/12/22,21L (Omicron)
5/12/22,21L (Omicron)
5/12/22,22C (Omicron)
5/16/22,22C (Omicron)
5/12/22,22C (Omicron)
5/23/22,22C (Omicron)
5/12/22,22C (Omicron)
5/12/22,21L (Omicron)
5/23/22,22C (Omicron)
5/23/22,22C (Omicron)
5/23/22,22C (Omicron)
5/23/22,21L (Omicron)
5/23/22,22C (Omicron)
5/13/22,21L (Omicron)
5/11/22,21L (Omicron)
5/11/22,22C (Omicron)
5/23/22,21L (Omicron)
5/9/22,22C (Omicron)
5/23/22,22C (Omicron)
5/23/22,21L (Omicron)
5/21/22,21L (Omicron)
5/23/22,21L (Omicron)
5/21/22,21L (Omicron)
5/19/22,21L (Omicron)
5/23/22,21L (Omicron)
5/18/22,21L (Omicron)
5/15/22,21L (Omicron)
5/23/22,21L (Omicron)
5/23/22,22C (Omicron)
5/24/22,22B (Omicron)
5/23/22,21L (Omicron)
5/24/22,22C (Omicron)
5/23/22,22C (Omicron)
5/20/22,22C (Omicron)
5/19/22,21L (Omicron)
5/20/22,21L (Omicron)
5/19/22,21L (Omicron)
5/18/22,22B (Omicron)
5/16/22,22C (Omicron)
5/22/22,22B (Omicron)
5/20/22,21L (Omicron)
5/10/22,21L (Omicron)
5/13/22,21L (Omicron)
5/24/22,22C (Omicron)
5/18/22,22A (Omicron)
5/24/22,22B (Omicron)
5/20/22,22C (Omicron)
5/20/22,22C (Omicron)
5/24/22,21L (Omicron)
5/14/22,21L (Omicron)
5/12/22,21L (Omicron)
5/13/22,22C (Omicron)
5/16/22,22C (Omicron)
5/17/22,21L (Omicron)
5/16/22,22C (Omicron)
5/11/22,21L (Omicron)
5/27/22,22C (Omicron)
5/17/22,21L (Omicron)
5/15/22,22C (Omicron)
5/15/22,22C (Omicron)
5/15/22,21L (Omicron)
5/13/22,21L (Omicron)
5/12/22,22C (Omicron)
5/11/22,22C (Omicron)
5/17/22,21L (Omicron)
5/17/22,21L (Omicron)
5/12/22,21L (Omicron)
5/13/22,22C (Omicron)
10/16/20,20A
10/15/20,20B
10/27/20,20A
10/26/20,20A
5/1/20,20A
3/22/20,20A
3/19/20,19B
10/16/20,20A
10/5/20,20G
10/16/20,20C
10/5/20,20A
3/16/20,20A
4/29/20,20A
5/1/20,20A
5/1/20,20A
10/8/20,20G
12/14/20,20D
10/8/20,20A
7/8/20,20C
10/8/20,20A
10/8/20,20B
4/29/20,20A
10/7/20,20B
10/8/20,20G
10/5/20,20A
10/8/20,20A
10/7/20,20B
8/3/20,20A
10/5/20,20G
7/9/20,20A
10/5/20,20C
10/5/20,20A
10/5/20,20A
12/18/20,20B
10/7/20,20A
5/1/20,20C
5/1/20,20A
10/16/20,20A
3/19/20,19B
4/29/20,20A
5/1/20,20A
4/30/20,20C
12/2/20,20G
10/9/20,20B
10/26/20,20B
5/1/20,20C
10/16/20,20A
10/16/20,20G
7/9/20,20G
10/19/20,20G
3/7/20,20A
11/24/20,20G
10/16/20,20G
10/16/20,20G
10/15/20,20B
10/27/20,20C
10/16/20,20G
10/16/20,20C
10/6/20,20G
10/15/20,20C
7/9/20,20C
10/15/20,20G
10/16/20,20B
10/7/20,20B
10/8/20,20B
10/8/20,20C
10/8/20,20G
10/8/20,20A
10/14/20,20A
10/15/20,20G
10/9/20,20A
10/14/20,20B
11/24/20,20C
10/16/20,20A
10/9/20,20B
11/30/20,20G
11/25/20,20G
10/15/20,20A
11/27/20,20A
12/17/20,20A
10/16/20,20G
11/17/20,20C
11/30/20,20G
12/17/20,20G
10/16/20,20G
3/10/20,19B
12/1/20,20G
11/30/20,20G
12/17/20,20G
12/15/20,20G
12/17/20,20G
12/1/20,20G
12/17/20,20B
12/17/20,20G
12/17/20,20A
10/7/20,20A
10/7/20,20A
12/14/20,20G
12/17/20,20G
12/18/20,20G
10/9/20,20A
12/18/20,20C
10/7/20,20G
10/14/20,20B
12/18/20,20G
10/12/20,20A
10/9/20,20B
11/23/20,20A
10/14/20,20G
10/16/20,20C
10/8/20,20G
10/8/20,20A
10/9/20,20B
10/14/20,20A
10/9/20,20B
10/16/20,20A
12/17/20,20C
10/16/20,20B
10/9/20,20G
10/8/20,20A
11/27/20,20A
10/14/20,20G
10/8/20,20G
4/29/20,20A
10/27/20,20B
10/8/20,20C
4/29/20,20A
12/1/20,20B
10/16/20,20A
11/30/20,20G
10/8/20,20A
10/8/20,20G
12/17/20,20G
11/25/20,20A
10/19/20,20G
3/19/20,19B
5/1/20,19B
3/22/20,19B
10/15/20,20C
10/8/20,20B
10/14/20,20A
12/18/20,20B
10/16/20,20B
10/19/20,20C
4/30/20,20A
10/8/20,20B
10/15/20,20G
10/14/20,20G
10/14/20,20G
4/29/20,20A
10/8/20,20G
8/21/21,21J (Delta)
10/28/21,21J (Delta)
8/22/21,21J (Delta)
8/23/21,21J (Delta)
8/23/21,21A (Delta)
8/13/21,21I (Delta)
8/16/21,21J (Delta)
8/13/21,21J (Delta)
8/14/21,21J (Delta)
8/13/21,21J (Delta)
8/9/21,21J (Delta)
8/19/21,21J (Delta)
8/17/21,21J (Delta)
11/14/20,20G
11/16/20,20G
11/20/20,20C
11/26/20,20G
12/3/20,20A
12/12/20,20A
8/21/21,21J (Delta)
8/21/21,21J (Delta)
8/20/21,21J (Delta)
8/21/21,21J (Delta)
8/21/21,21J (Delta)
8/20/21,21J (Delta)
8/22/21,21J (Delta)
8/26/21,21J (Delta)
8/23/21,21J (Delta)
8/26/21,21I (Delta)
9/8/21,21J (Delta)
9/17/21,21J (Delta)
9/18/21,21J (Delta)
8/28/21,21J (Delta)
8/23/21,21J (Delta)
9/10/21,21J (Delta)
9/18/21,21J (Delta)
9/16/21,21J (Delta)
8/27/21,21J (Delta)
9/4/21,21J (Delta)
9/16/21,21J (Delta)
9/17/21,21J (Delta)
10/1/21,21J (Delta)
9/6/21,21J (Delta)
9/26/21,21J (Delta)
8/21/21,21J (Delta)
8/23/21,21J (Delta)
8/23/21,21I (Delta)
8/23/21,21J (Delta)
8/27/21,21I (Delta)
8/28/21,21J (Delta)
8/27/21,21J (Delta)
